match_id,utc_date,competition_code,stage,group_name,home_team,away_team,dynamic_status,selector_status,selected_market,selected_prediction,selected_confidence,risk_level,unavailable_reason,abstention_reason,1x2_prediction,1x2_max_probability,1x2_prob_team_a_win,1x2_prob_draw,1x2_prob_team_b_win,over_1_5_prediction,over_1_5_prob_yes,over_2_5_prediction,over_2_5_max_probability,btts_prediction,btts_prob_no,double_chance_excluded_outcome,double_chance_excluded_probability,double_chance_gap_to_threshold
537352,2026-06-14T23:00:00Z,WC,GROUP_STAGE,GROUP_E,Ivory Coast,Ecuador,computed,ABSTAIN,ABSTAIN,ABSTAIN,,none,,STRICT_1X2 refuse car prediction DRAW | OVER_1_5 refuse car prediction NO | OVER_2_5 sous seuil 0.70 | BTTS refuse car prediction YES | DOUBLE_CHANCE au-dessus du seuil exclu 0.15,DRAW,0.429569,0.276243,0.429569,0.294189,NO,0.462866,NO,0.54503,YES,0.410034,TEAM_A_WIN,0.276243,0.126243
537358,2026-06-15T02:00:00Z,WC,GROUP_STAGE,GROUP_F,Sweden,Tunisia,computed,RECOMMEND,DOUBLE_CHANCE,DRAW_OR_TEAM_B,0.943868,low,,,TEAM_B_WIN,0.630416,0.056132,0.313451,0.630416,NO,0.410314,NO,0.595614,YES,0.432066,TEAM_A_WIN,0.056132,-0.093868
537369,2026-06-15T16:00:00Z,WC,GROUP_STAGE,GROUP_H,Spain,Cape Verde Islands,computed,RECOMMEND,STRICT_1X2,TEAM_A_WIN,0.827138,medium,,,TEAM_A_WIN,0.827138,0.827138,0.132713,0.040149,YES,0.6256,YES,0.675929,NO,0.714514,TEAM_B_WIN,0.040149,-0.109851
537363,2026-06-15T19:00:00Z,WC,GROUP_STAGE,GROUP_G,Belgium,Egypt,computed,ABSTAIN,ABSTAIN,ABSTAIN,,none,,STRICT_1X2 refuse car prediction DRAW | OVER_1_5 refuse car prediction NO | OVER_2_5 sous seuil 0.70 | BTTS NO sous seuil 0.75 | DOUBLE_CHANCE au-dessus du seuil exclu 0.15,DRAW,0.449851,0.260309,0.449851,0.28984,NO,0.45905,NO,0.593124,NO,0.519436,TEAM_A_WIN,0.260309,0.110309
537370,2026-06-15T22:00:00Z,WC,GROUP_STAGE,GROUP_H,Saudi Arabia,Uruguay,computed,ABSTAIN,ABSTAIN,ABSTAIN,,none,,STRICT_1X2 sous seuil 0.76 | OVER_1_5 YES sous seuil 0.78 | OVER_2_5 sous seuil 0.70 | BTTS refuse car prediction YES | DOUBLE_CHANCE au-dessus du seuil exclu 0.15,TEAM_B_WIN,0.422276,0.208101,0.369623,0.422276,YES,0.509836,YES,0.521092,YES,0.381824,TEAM_A_WIN,0.208101,0.058101
537364,2026-06-16T01:00:00Z,WC,GROUP_STAGE,GROUP_G,Iran,New Zealand,computed,ABSTAIN,ABSTAIN,ABSTAIN,,none,,STRICT_1X2 sous seuil 0.76 | OVER_1_5 YES sous seuil 0.78 | OVER_2_5 sous seuil 0.70 | BTTS refuse car prediction YES | DOUBLE_CHANCE au-dessus du seuil exclu 0.15,TEAM_B_WIN,0.431069,0.205624,0.363307,0.431069,YES,0.62895,YES,0.536494,YES,0.395316,TEAM_A_WIN,0.205624,0.055624
537391,2026-06-16T19:00:00Z,WC,GROUP_STAGE,GROUP_I,France,Senegal,computed,ABSTAIN,ABSTAIN,ABSTAIN,,none,,STRICT_1X2 refuse car prediction DRAW | OVER_1_5 refuse car prediction NO | OVER_2_5 sous seuil 0.70 | BTTS refuse car prediction YES | DOUBLE_CHANCE au-dessus du seuil exclu 0.15,DRAW,0.429425,0.372448,0.429425,0.198127,NO,0.472921,NO,0.540002,YES,0.390087,TEAM_B_WIN,0.198127,0.048127
537392,2026-06-16T22:00:00Z,WC,GROUP_STAGE,GROUP_I,Iraq,Norway,computed,ABSTAIN,ABSTAIN,ABSTAIN,,none,,STRICT_1X2 sous seuil 0.76 | OVER_1_5 YES sous seuil 0.78 | OVER_2_5 sous seuil 0.70 | BTTS refuse car prediction YES | DOUBLE_CHANCE au-dessus du seuil exclu 0.15,TEAM_B_WIN,0.447164,0.175242,0.377594,0.447164,YES,0.614968,YES,0.572464,YES,0.444031,TEAM_A_WIN,0.175242,0.025242
537397,2026-06-17T01:00:00Z,WC,GROUP_STAGE,GROUP_J,Argentina,Algeria,computed,ABSTAIN,ABSTAIN,ABSTAIN,,none,,STRICT_1X2 refuse car prediction DRAW | OVER_1_5 refuse car prediction NO | OVER_2_5 sous seuil 0.70 | BTTS NO sous seuil 0.75 | DOUBLE_CHANCE au-dessus du seuil exclu 0.15,DRAW,0.417066,0.366949,0.417066,0.215985,NO,0.466461,NO,0.545387,NO,0.546214,TEAM_B_WIN,0.215985,0.065985
537398,2026-06-17T04:00:00Z,WC,GROUP_STAGE,GROUP_J,Austria,Jordan,computed,ABSTAIN,ABSTAIN,ABSTAIN,,none,,STRICT_1X2 sous seuil 0.76 | OVER_1_5 YES sous seuil 0.78 | OVER_2_5 sous seuil 0.70 | BTTS refuse car prediction YES | DOUBLE_CHANCE au-dessus du seuil exclu 0.15,TEAM_B_WIN,0.377589,0.260548,0.361863,0.377589,YES,0.531353,NO,0.513497,YES,0.35445,TEAM_A_WIN,0.260548,0.110548
