match_id,utc_date,competition_code,stage,group_name,home_team,away_team,dynamic_status,unavailable_reason,transition,v18_3_3_status,v18_3_3_market,v18_3_3_prediction,v18_3_3_confidence,v18_3_3_risk_level,v18_3_3_rule,v18_3_4_status,v18_3_4_market,v18_3_4_prediction,v18_3_4_confidence,v18_3_4_risk_level,v18_3_4_rule,1x2_prediction,1x2_max_probability,1x2_prob_team_a_win,1x2_prob_draw,1x2_prob_team_b_win,over_1_5_prediction,over_1_5_prob_yes,over_2_5_prediction,over_2_5_max_probability,btts_prediction,btts_prob_no,dc015_excluded_outcome,dc015_excluded_probability,dc018_excluded_outcome,dc018_excluded_probability
537352,2026-06-14T23:00:00Z,WC,GROUP_STAGE,GROUP_E,Ivory Coast,Ecuador,computed,,SAME_ABSTENTION,ABSTAIN,ABSTAIN,ABSTAIN,,none,Aucun signal ne respecte les seuils V18.3.3 strict reliability.,ABSTAIN,ABSTAIN,ABSTAIN,,,Aucun signal ne respecte les seuils V18.3.4 dc018.,DRAW,0.429569,0.276243,0.429569,0.294189,NO,0.462866,NO,0.54503,YES,0.410034,TEAM_A_WIN,0.276243,TEAM_A_WIN,0.276243
537358,2026-06-15T02:00:00Z,WC,GROUP_STAGE,GROUP_F,Sweden,Tunisia,computed,,SAME_RECOMMENDATION,RECOMMEND,DOUBLE_CHANCE,DRAW_OR_TEAM_B,0.943868,low,DOUBLE_CHANCE si probabilite de l'issue exclue <= 0.15,RECOMMEND,DOUBLE_CHANCE,DRAW_OR_TEAM_B,0.943868,low,DOUBLE_CHANCE si probabilite de l'issue exclue <= 0.18,TEAM_B_WIN,0.630416,0.056132,0.313451,0.630416,NO,0.410314,NO,0.595614,YES,0.432066,TEAM_A_WIN,0.056132,TEAM_A_WIN,0.056132
537369,2026-06-15T16:00:00Z,WC,GROUP_STAGE,GROUP_H,Spain,Cape Verde Islands,computed,,SAME_RECOMMENDATION,RECOMMEND,STRICT_1X2,TEAM_A_WIN,0.827138,medium,1X2 non-DRAW avec confiance >= 0.76,RECOMMEND,STRICT_1X2,TEAM_A_WIN,0.827138,medium,1X2 non-DRAW avec confiance >= 0.76,TEAM_A_WIN,0.827138,0.827138,0.132713,0.040149,YES,0.6256,YES,0.675929,NO,0.714514,TEAM_B_WIN,0.040149,TEAM_B_WIN,0.040149
537363,2026-06-15T19:00:00Z,WC,GROUP_STAGE,GROUP_G,Belgium,Egypt,computed,,SAME_ABSTENTION,ABSTAIN,ABSTAIN,ABSTAIN,,none,Aucun signal ne respecte les seuils V18.3.3 strict reliability.,ABSTAIN,ABSTAIN,ABSTAIN,,,Aucun signal ne respecte les seuils V18.3.4 dc018.,DRAW,0.449851,0.260309,0.449851,0.28984,NO,0.45905,NO,0.593124,NO,0.519436,TEAM_A_WIN,0.260309,TEAM_A_WIN,0.260309
537370,2026-06-15T22:00:00Z,WC,GROUP_STAGE,GROUP_H,Saudi Arabia,Uruguay,computed,,SAME_ABSTENTION,ABSTAIN,ABSTAIN,ABSTAIN,,none,Aucun signal ne respecte les seuils V18.3.3 strict reliability.,ABSTAIN,ABSTAIN,ABSTAIN,,,Aucun signal ne respecte les seuils V18.3.4 dc018.,TEAM_B_WIN,0.422276,0.208101,0.369623,0.422276,YES,0.509836,YES,0.521092,YES,0.381824,TEAM_A_WIN,0.208101,TEAM_A_WIN,0.208101
537364,2026-06-16T01:00:00Z,WC,GROUP_STAGE,GROUP_G,Iran,New Zealand,computed,,SAME_ABSTENTION,ABSTAIN,ABSTAIN,ABSTAIN,,none,Aucun signal ne respecte les seuils V18.3.3 strict reliability.,ABSTAIN,ABSTAIN,ABSTAIN,,,Aucun signal ne respecte les seuils V18.3.4 dc018.,TEAM_B_WIN,0.431069,0.205624,0.363307,0.431069,YES,0.62895,YES,0.536494,YES,0.395316,TEAM_A_WIN,0.205624,TEAM_A_WIN,0.205624
537391,2026-06-16T19:00:00Z,WC,GROUP_STAGE,GROUP_I,France,Senegal,computed,,SAME_ABSTENTION,ABSTAIN,ABSTAIN,ABSTAIN,,none,Aucun signal ne respecte les seuils V18.3.3 strict reliability.,ABSTAIN,ABSTAIN,ABSTAIN,,,Aucun signal ne respecte les seuils V18.3.4 dc018.,DRAW,0.429425,0.372448,0.429425,0.198127,NO,0.472921,NO,0.540002,YES,0.390087,TEAM_B_WIN,0.198127,TEAM_B_WIN,0.198127
537392,2026-06-16T22:00:00Z,WC,GROUP_STAGE,GROUP_I,Iraq,Norway,computed,,ABSTAIN_TO_RECOMMEND,ABSTAIN,ABSTAIN,ABSTAIN,,none,Aucun signal ne respecte les seuils V18.3.3 strict reliability.,RECOMMEND,DOUBLE_CHANCE,DRAW_OR_TEAM_B,0.824758,medium,DOUBLE_CHANCE si probabilite de l'issue exclue <= 0.18,TEAM_B_WIN,0.447164,0.175242,0.377594,0.447164,YES,0.614968,YES,0.572464,YES,0.444031,TEAM_A_WIN,0.175242,TEAM_A_WIN,0.175242
537397,2026-06-17T01:00:00Z,WC,GROUP_STAGE,GROUP_J,Argentina,Algeria,computed,,SAME_ABSTENTION,ABSTAIN,ABSTAIN,ABSTAIN,,none,Aucun signal ne respecte les seuils V18.3.3 strict reliability.,ABSTAIN,ABSTAIN,ABSTAIN,,,Aucun signal ne respecte les seuils V18.3.4 dc018.,DRAW,0.417066,0.366949,0.417066,0.215985,NO,0.466461,NO,0.545387,NO,0.546214,TEAM_B_WIN,0.215985,TEAM_B_WIN,0.215985
537398,2026-06-17T04:00:00Z,WC,GROUP_STAGE,GROUP_J,Austria,Jordan,computed,,SAME_ABSTENTION,ABSTAIN,ABSTAIN,ABSTAIN,,none,Aucun signal ne respecte les seuils V18.3.3 strict reliability.,ABSTAIN,ABSTAIN,ABSTAIN,,,Aucun signal ne respecte les seuils V18.3.4 dc018.,TEAM_B_WIN,0.377589,0.260548,0.361863,0.377589,YES,0.531353,NO,0.513497,YES,0.35445,TEAM_A_WIN,0.260548,TEAM_A_WIN,0.260548
537403,2026-06-17T17:00:00Z,WC,GROUP_STAGE,GROUP_K,Portugal,Congo DR,computed,,SAME_ABSTENTION,ABSTAIN,ABSTAIN,ABSTAIN,,none,Aucun signal ne respecte les seuils V18.3.3 strict reliability.,ABSTAIN,ABSTAIN,ABSTAIN,,,Aucun signal ne respecte les seuils V18.3.4 dc018.,DRAW,0.444901,0.24954,0.444901,0.30556,NO,0.498327,NO,0.576332,NO,0.553029,TEAM_A_WIN,0.24954,TEAM_A_WIN,0.24954
537409,2026-06-17T20:00:00Z,WC,GROUP_STAGE,GROUP_L,England,Croatia,computed,,SAME_ABSTENTION,ABSTAIN,ABSTAIN,ABSTAIN,,none,Aucun signal ne respecte les seuils V18.3.3 strict reliability.,ABSTAIN,ABSTAIN,ABSTAIN,,,Aucun signal ne respecte les seuils V18.3.4 dc018.,DRAW,0.429652,0.272846,0.429652,0.297502,NO,0.484363,NO,0.537236,YES,0.363319,TEAM_A_WIN,0.272846,TEAM_A_WIN,0.272846
537410,2026-06-17T23:00:00Z,WC,GROUP_STAGE,GROUP_L,Ghana,Panama,computed,,SAME_ABSTENTION,ABSTAIN,ABSTAIN,ABSTAIN,,none,Aucun signal ne respecte les seuils V18.3.3 strict reliability.,ABSTAIN,ABSTAIN,ABSTAIN,,,Aucun signal ne respecte les seuils V18.3.4 dc018.,DRAW,0.425234,0.213338,0.425234,0.361428,NO,0.393949,NO,0.600846,YES,0.452886,TEAM_A_WIN,0.213338,TEAM_A_WIN,0.213338
537404,2026-06-18T02:00:00Z,WC,GROUP_STAGE,GROUP_K,Uzbekistan,Colombia,computed,,SAME_ABSTENTION,ABSTAIN,ABSTAIN,ABSTAIN,,none,Aucun signal ne respecte les seuils V18.3.3 strict reliability.,ABSTAIN,ABSTAIN,ABSTAIN,,,Aucun signal ne respecte les seuils V18.3.4 dc018.,TEAM_A_WIN,0.362311,0.362311,0.343555,0.294134,NO,0.487714,NO,0.571061,YES,0.470681,TEAM_B_WIN,0.294134,TEAM_B_WIN,0.294134
537329,2026-06-18T16:00:00Z,WC,GROUP_STAGE,GROUP_A,Czechia,South Africa,computed,,SAME_ABSTENTION,ABSTAIN,ABSTAIN,ABSTAIN,,none,Aucun signal ne respecte les seuils V18.3.3 strict reliability.,ABSTAIN,ABSTAIN,ABSTAIN,,,Aucun signal ne respecte les seuils V18.3.4 dc018.,DRAW,0.370923,0.263279,0.370923,0.365798,NO,0.48213,YES,0.516288,YES,0.370336,TEAM_A_WIN,0.263279,TEAM_A_WIN,0.263279
537335,2026-06-18T19:00:00Z,WC,GROUP_STAGE,GROUP_B,Switzerland,Bosnia-Herzegovina,computed,,SAME_ABSTENTION,ABSTAIN,ABSTAIN,ABSTAIN,,none,Aucun signal ne respecte les seuils V18.3.3 strict reliability.,ABSTAIN,ABSTAIN,ABSTAIN,,,Aucun signal ne respecte les seuils V18.3.4 dc018.,TEAM_A_WIN,0.405442,0.405442,0.360737,0.233821,YES,0.523627,NO,0.530912,NO,0.514356,TEAM_B_WIN,0.233821,TEAM_B_WIN,0.233821
537336,2026-06-18T22:00:00Z,WC,GROUP_STAGE,GROUP_B,Canada,Qatar,computed,,ABSTAIN_TO_RECOMMEND,ABSTAIN,ABSTAIN,ABSTAIN,,none,Aucun signal ne respecte les seuils V18.3.3 strict reliability.,RECOMMEND,DOUBLE_CHANCE,TEAM_A_OR_DRAW,0.832875,medium,DOUBLE_CHANCE si probabilite de l'issue exclue <= 0.18,TEAM_A_WIN,0.47388,0.47388,0.358996,0.167125,YES,0.538604,NO,0.526845,NO,0.533121,TEAM_B_WIN,0.167125,TEAM_B_WIN,0.167125
537330,2026-06-19T01:00:00Z,WC,GROUP_STAGE,GROUP_A,Mexico,South Korea,computed,,SAME_ABSTENTION,ABSTAIN,ABSTAIN,ABSTAIN,,none,Aucun signal ne respecte les seuils V18.3.3 strict reliability.,ABSTAIN,ABSTAIN,ABSTAIN,,,Aucun signal ne respecte les seuils V18.3.4 dc018.,DRAW,0.480699,0.287218,0.480699,0.232083,NO,0.368527,NO,0.601123,YES,0.487393,TEAM_B_WIN,0.232083,TEAM_B_WIN,0.232083
537348,2026-06-19T19:00:00Z,WC,GROUP_STAGE,GROUP_D,United States,Australia,computed,,SAME_ABSTENTION,ABSTAIN,ABSTAIN,ABSTAIN,,none,Aucun signal ne respecte les seuils V18.3.3 strict reliability.,ABSTAIN,ABSTAIN,ABSTAIN,,,Aucun signal ne respecte les seuils V18.3.4 dc018.,DRAW,0.472925,0.24205,0.472925,0.285025,NO,0.3546,NO,0.621766,YES,0.482305,TEAM_A_WIN,0.24205,TEAM_A_WIN,0.24205
537342,2026-06-19T22:00:00Z,WC,GROUP_STAGE,GROUP_C,Scotland,Morocco,computed,,SAME_RECOMMENDATION,RECOMMEND,DOUBLE_CHANCE,DRAW_OR_TEAM_B,0.895896,low,DOUBLE_CHANCE si probabilite de l'issue exclue <= 0.15,RECOMMEND,DOUBLE_CHANCE,DRAW_OR_TEAM_B,0.895896,low,DOUBLE_CHANCE si probabilite de l'issue exclue <= 0.18,TEAM_B_WIN,0.533227,0.104104,0.362669,0.533227,NO,0.477871,NO,0.550244,YES,0.375365,TEAM_A_WIN,0.104104,TEAM_A_WIN,0.104104
